,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,8.49,0,1.66,0.54,Compound,None,,,27,3.77,0,7.96,2.37,Artifact,Weak,,,53,2.34,0.1,1.31,2.39,Solvent,Weak + C13_Sat,,,79,1.8,0,1.66,0.27,Impurity,None,,,105,0.88,0,1.11,0.25,Compound,None,,
2,8.49,0.1,2.39,1.6,Compound,None,,,28,3.67,0,0.68,0.05,Artifact,Weak,,,54,2.33,0.3,1.37,5.7,Solvent,Weak + C13_Sat,,,80,1.77,0,1.79,0.76,Compound,None,,,106,0.88,0,1.72,0.2,Compound,Weak,,
3,7.97,0,0.35,0.03,Artifact,Weak,,,29,3.52,0,1.58,0.72,Artifact,Weak,,,55,2.33,0.5,1.46,9.88,Solvent,Weak + C13_Sat,,,81,1.75,0,1.71,0.12,Artifact,Weak,,,107,0.87,0,4.3,0.87,Compound,None,,
4,7.96,0,1.48,0.44,Impurity,None,,,30,3.51,0.1,232.16,283.57,Artifact,Weak,,,56,2.32,0.3,1.26,5.41,Solvent,Weak + C13_Sat,,,82,1.72,0.1,1.05,1.83,Compound,None,,,108,0.86,0,4.87,1.86,Compound,None,,
5,7.87,0,5.64,0.67,Compound,None,,,31,3.5,0,1.78,0.43,Artifact,Weak,,,57,2.32,0.1,1.28,2.17,Solvent,Weak + C13_Sat,,,83,1.72,0.1,1.03,1.68,Compound,None,,,109,0.86,0,2.47,0.86,Compound,None,,
6,7.85,0,4.25,0.42,Compound,None,,,32,3.41,0.3,51.41,158.86,Artifact,Weak,,,58,2.29,0.1,0.78,0.95,Compound,None,,,84,1.62,0,1.34,0.1,Artifact,Weak,,,110,0.85,0.1,2.21,1.64,Compound,None,,
7,7.4,0.1,0.87,0.85,Compound,None,,,33,3.26,0,0.84,0.09,Artifact,Weak,,,59,2.21,0.2,1.04,3.07,Compound,None,,,85,1.47,0,12.87,4.02,Compound,None,,,111,0.84,0,13.8,6.98,Compound,None,,
8,7.39,0,8.34,1.11,Compound,None,,,34,3.13,0.2,1.93,3.92,Artifact,Weak,,,60,2.21,0.1,170.68,82.2,Compound,None,,,86,1.31,0,377.35,174.58,Compound,None,,,112,0.84,0,3.39,1.06,Compound,None,,
9,7.38,0.1,0.87,0.85,Compound,None,,,35,3.11,0,2.4,0.86,Artifact,Weak,,,61,2.21,0,1.2,0.78,Compound,None,,,87,1.3,0,1.88,0.13,Artifact,Weak,,,113,0.81,0,24.07,11.77,Compound,None,,
10,7.26,0,0.61,0.07,Impurity,Weak,,,36,3.1,0.1,2.58,2.84,Artifact,Weak,,,62,2.2,0,2.53,1.08,Compound,None,,,88,1.26,0,1.79,0.41,Compound,None,,,114,0.13,0,0.88,0.13,Impurity,Weak,,
11,7.25,0,1.72,0.14,Artifact,Weak,,,37,3.09,0,1.69,0.33,Artifact,Weak,,,63,2.18,0,7.83,4.48,Compound,None,,,89,1.24,0.1,9.98,9.12,Compound,None,,,115,0.12,0,1.13,0.6,CS Reference,Weak + C13_Sat,,
12,7.25,0,1.4,0.62,Compound,None,,,38,2.95,0,1.49,0.17,Artifact,Weak,,,64,2.16,0,3.76,1.04,Compound,None,,,90,1.23,0.3,2.75,10.19,Compound,None,,,116,0.08,0,19.91,5.43,Compound,None,,
13,7.24,0,1.89,0.85,Compound,None,,,39,2.75,0,0.56,0.04,Artifact,Weak,,,65,2.15,0,4.07,0.51,Impurity,None,,,91,1.19,0,2.3,0.31,Impurity,None,,,117,0.08,0,0.86,0.08,Impurity,Weak,,
14,7.2,0,0.9,0.15,Impurity,None,,,40,2.68,0.1,1.23,2.41,Solvent,Weak + C13_Sat,,,66,2.12,0,2.31,1.34,Compound,None,,,92,1.15,0.2,3.63,9.33,Compound,None,,,118,0.08,0,1.27,0.4,Compound,None,,
15,6.01,0,0.64,0.19,Impurity,None,,,41,2.67,0.4,1.45,6.92,Solvent,Weak + C13_Sat,,,67,2.09,0,1.83,0.26,Impurity,None,,,93,1.11,0,3.89,0.92,Compound,None,,,119,0.07,1,1.89,20.66,Compound,None,,
16,5.78,0,0.77,0.07,Impurity,Weak,,,42,2.67,0.5,1.34,8.68,Solvent,Weak + C13_Sat,,,68,2.08,0,1.46,0.12,Impurity,Weak,,,94,1.09,0,3.79,0.65,Compound,None,,,120,0.06,0,3.46,1.63,Compound,None,,
17,5.45,0.1,0.95,0.83,Compound,None,,,43,2.66,0.3,1.39,5.89,Solvent,Weak + C13_Sat,,,69,2.07,0,0.65,0.06,Artifact,Weak,,,95,1.04,0,1.65,0.28,Impurity,None,,,121,0.05,0,2.22,1.02,Compound,None,,
18,5.43,0.1,0.96,0.96,Compound,None,,,44,2.66,0.1,1.2,1.73,Solvent,Weak + C13_Sat,,,70,2.06,0,2.81,0.6,Impurity,None,,,96,1.03,0,1.35,0.13,Artifact,Weak,,,122,-0.01,0,4.72,1.87,CS Reference,Weak,,
19,5.19,0,1.22,0.11,Artifact,Weak,,,45,2.56,0.2,32.97,57.84,Artifact,Weak,,,71,2.01,0,1.56,0.19,Impurity,Weak,,,97,1.01,0,7.77,3.02,Compound,None,,,123,-0.01,0,0.69,0.06,CS Reference,Weak,,
20,4.86,0,251.56,162.84,Compound,None,,,46,2.52,0.3,1.02,3.77,Solvent,Weak,,,72,1.89,0,6.2,0.5,Compound,None,,,98,1,0,1.53,0.15,Compound,Weak,,,124,-0.02,0.3,0.97,3.6,CS Reference,None,,
21,3.99,0,1.46,0.15,Impurity,Weak,,,47,2.52,0.2,0.69,2.01,Solvent,Weak,,,73,1.88,0.1,1.78,2.38,Compound,None,,,99,0.99,0,1.1,0.27,Impurity,None,,,125,-0.03,7.7,1.02,92.77,CS Reference,None,,
22,3.98,0,1.59,0.11,Artifact,Weak,,,48,2.51,22.4,1.14,307.17,Solvent,None,,,74,1.88,0,0.76,0.17,Compound,None,,,100,0.98,0,0.98,0.06,Artifact,Weak,,,126,-0.04,0.2,0.78,2.4,CS Reference,None,,
23,3.92,0,1.7,0.28,Impurity,None,,,49,2.5,61.4,1.57,1287.73,Solvent,None,,,75,1.85,0,63.05,23.85,Compound,None,,,101,0.97,0,2.77,0.45,Impurity,None,,,127,-0.18,0,1.12,0.55,CS Reference,Weak + C13_Sat,,
24,3.91,0,1.46,0.17,Impurity,Weak,,,50,2.5,82.5,1.29,1323.9,Solvent,None,,,76,1.84,0,0.9,0.11,Impurity,Weak,,,102,0.95,0,1.22,0.12,Impurity,Weak,,,,,,,,,,,
25,3.9,0,1.97,0.54,Impurity,None,,,51,2.5,57.8,1.36,989.41,Solvent,None,,,77,1.83,0,0.74,0.11,Impurity,Weak,,,103,0.9,0,1.04,0.15,Impurity,None,,,,,,,,,,,
26,3.82,0,1.56,0.2,Artifact,Weak,,,52,2.49,23.4,1.2,330.66,Solvent,None,,,78,1.81,0,2.63,0.62,Impurity,None,,,104,0.89,0,2.13,0.37,Compound,None,,,,,,,,,,,