DOC_ID,npoc_mgL
DOC-191,77.67
DOC-192,11.86
DOC-211,488
DOC-212,83.3
DOC-207,423.9
DOC-208,134.5
DOC-210,613.7
DOC-193,53.71
DOC-194,9.898
DOC-195,76.15
DOC-196,14.84
DOC-197,231.8
DOC-198,67.61
DOC-199,120.9
DOC-200,58
DOC-201,100.1
DOC-202,35.01
DOC-213,774.4
DOC-214,280.5
DOC-215,583.5
blank filter,1.007
blank solution,0.5817
,10.13
,0.3991
DOC-216,150
DOC-203,128
DOC-204,38.23
DOC-217,439.4
DOC-218,122.2
DOC-219,207.9
DOC-220,43.84
DOC-205,147.7
DOC-206,9.073
DOC-239,144.3
DOC-240,105.7
DOC-223,36.94
DOC-224,12.15
DOC-249,118.8
DOC-250,92.71
DOC-241,141
DOC-242,129.1
DOC-221,38.19
DOC-222,14.38
DOC-225,60.52
blank filter,0.581
blank solution,0.3497
,10.2
,0.3837
DOC-226,15.06
DOC-227,116.7
DOC-228,15.53
DOC-243,188.5
DOC-244,107.1
DOC-245,160.7
DOC-246,81.62
DOC-247,174.1
DOC-248,94.97
DOC-229,48.33
DOC-230,14.55
DOC-231,32.36
DOC-232,9.47
DOC-251,241.4
DOC-252,133.1
DOC-233,29.54
DOC-234,12.57
DOC-235,49.22
DOC-236,12.01
DOC-237,43.94
DOC-238,11.33
DOC-253,205.2
DOC-254,91.51
blank filter,0.6337
blank solution,0.3683
,0