Core,Core_assignment,coreID,Site,location,drying,length,replicate
0,Ambient,C0,CPCRW,,,,
1,CPCRW_90d_up_FAD_r1,C1,CPCRW,upland,forced,90 day,1
2,CPCRW_1000d_up_CW_r3,C2,CPCRW,upland,constant weight,1000 day,3
3,CPCRW_30d_up_CW_r4,C3,CPCRW,upland,constant weight,30 day,4
4,CPCRW_150d_up_CW_r4,C4,CPCRW,upland,constant weight,150 day,4
5,CPCRW_1000d_up_CW_r4,C5,CPCRW,upland,constant weight,1000 day,4
6,CPCRW_30d_up_FAD_r1,C6,CPCRW,upland,forced,30 day,1
8,CPCRW_150d_up_FAD_r3,C8,CPCRW,upland,forced,150 day,3
9,CPCRW_30d_up_CW_r2,C9,CPCRW,upland,constant weight,30 day,2
10,CPCRW_1000d_up_FAD_r4,C10,CPCRW,upland,forced,1000 day,4
11,CPCRW_90d_up_CW_r1,C11,CPCRW,upland,constant weight,90 day,1
13,CPCRW_150d_up_CW_r2,C13,CPCRW,upland,constant weight,150 day,2
14,CPCRW_150d_up_FAD_r4,C14,CPCRW,upland,forced,150 day,4
15,CPCRW_90d_up_CW_r2,C15,CPCRW,upland,constant weight,90 day,2
16,CPCRW_30d_up_FAD_r2,C16,CPCRW,upland,forced,30 day,2
17,CPCRW_1000d_up_FAD_r3,C17,CPCRW,upland,forced,1000 day,3
18,CPCRW_90d_up_FAD_r3,C18,CPCRW,upland,forced,90 day,3
20,CPCRW_30d_up_CW_r3,C20,CPCRW,upland,constant weight,30 day,3
25,CPCRW_90d_up_CW_r4,C25,CPCRW,upland,constant weight,90 day,4
26,CPCRW_150d_up_CW_r3,C26,CPCRW,upland,constant weight,150 day,3
27,CPCRW_30d_up_FAD_r3,C27,CPCRW,upland,forced,30 day,3
28,CPCRW_150d_up_CW_r1,C28,CPCRW,upland,constant weight,150 day,1
31,CPCRW_1000d_up_CW_r1,C31,CPCRW,upland,constant weight,1000 day,1
33,CPCRW_150d_up_FAD_r1,C33,CPCRW,upland,forced,150 day,1
34,CPCRW_90d_up_CW_r3,C34,CPCRW,upland,constant weight,90 day,3
35,CPCRW_150d_up_FAD_r2,C35,CPCRW,upland,forced,150 day,2
36,CPCRW_1000d_up_FAD_r2,C36,CPCRW,upland,forced,1000 day,2
37,CPCRW_90d_up_FAD_r4,C37,CPCRW,upland,forced,90 day,4
38,CPCRW_1000d_up_CW_r2,C38,CPCRW,upland,constant weight,1000 day,2
39,CPCRW_30d_up_FAD_r4,C39,CPCRW,upland,forced,30 day,4
40,CPCRW_1000d_up_FAD_r1,C40,CPCRW,upland,forced,1000 day,1
42,CPCRW_1000d_low_FAD_r2,C42,CPCRW,lowland,forced,1000 day,2
44,CPCRW_30d_low_FAD_r3,C44,CPCRW,lowland,forced,30 day,3
46,CPCRW_150d_low_FAD_r4,C46,CPCRW,lowland,forced,150 day,4
48,CPCRW_1000d_low_CW_r3,C48,CPCRW,lowland,constant weight,1000 day,3
49,CPCRW_150d_low_FAD_r3,C49,CPCRW,lowland,forced,150 day,3
50,CPCRW_30d_low_FAD_r1,C50,CPCRW,lowland,forced,30 day,1
51,CPCRW_1000d_low_CW_r4,C51,CPCRW,lowland,constant weight,1000 day,4
52,CPCRW_90d_low_FAD_r3,C52,CPCRW,lowland,forced,90 day,3
53,CPCRW_90d_low_CW_r4,C53,CPCRW,lowland,constant weight,90 day,4
54,CPCRW_30d_low_CW_r4,C54,CPCRW,lowland,constant weight,30 day,4
54A,CPCRW_1000d_low_CW_r2,C54A,CPCRW,lowland,constant weight,1000 day,2
55,CPCRW_150d_low_CW_r4,C55,CPCRW,lowland,constant weight,150 day,4
56,CPCRW_30d_low_FAD_r4,C56,CPCRW,lowland,forced,30 day,4
58,CPCRW_1000d_low_CW_r1,C58,CPCRW,lowland,constant weight,1000 day,1
59,CPCRW_1000d_low_FAD_r3,C59,CPCRW,lowland,forced,1000 day,3
60,CPCRW_150d_low_CW_r1,C60,CPCRW,lowland,constant weight,150 day,1
61,CPCRW_90d_low_CW_r2,C61,CPCRW,lowland,constant weight,90 day,2
62,CPCRW_150d_low_CW_r2,C62,CPCRW,lowland,constant weight,150 day,2
63,CPCRW_1000d_low_FAD_r4,C63,CPCRW,lowland,forced,1000 day,4
64,CPCRW_90d_low_CW_r3,C64,CPCRW,lowland,constant weight,90 day,3
65,CPCRW_30d_low_CW_r3,C65,CPCRW,lowland,constant weight,30 day,3
66,CPCRW_30d_low_CW_r2,C66,CPCRW,lowland,constant weight,30 day,2
69,CPCRW_30d_low_CW_r1,C69,CPCRW,lowland,constant weight,30 day,1
71,CPCRW_90d_low_FAD_r4,C71,CPCRW,lowland,forced,90 day,4
72,CPCRW_150d_low_CW_r3,C72,CPCRW,lowland,constant weight,150 day,3
74,CPCRW_1000d_low_FAD_r1,C74,CPCRW,lowland,forced,1000 day,1
75,CPCRW_30d_low_FAD_r2,C75,CPCRW,lowland,forced,30 day,2
77,CPCRW_90d_low_FAD_r1,C77,CPCRW,lowland,forced,90 day,1
79,CPCRW_150d_low_FAD_r2,C79,CPCRW,lowland,forced,150 day,2
82,CPCRW_30d_up_CW_r1,C82,CPCRW,upland,constant weight,30 day,1
85,CPCRW_150d_low_FAD_r1,C85,CPCRW,lowland,forced,150 day,1
86,CPCRW_90d_low_CW_r1,C86,CPCRW,lowland,constant weight,90 day,1
1,SR_90d_low_FAD_r1,S1,SR,lowland,forced,90 day,1
2,SR_1000d_low_CW_r3,S2,SR,lowland,constant weight,1000 day,3
3,SR_30d_low_CW_r4,S3,SR,lowland,constant weight,30 day,4
4,SR_150d_low_CW_r4,S4,SR,lowland,constant weight,150 day,4
5,SR_1000d_low_CW_r4,S5,SR,lowland,constant weight,1000 day,4
6,SR_30d_low_FAD_r1,S6,SR,lowland,forced,30 day,1
8,SR_150d_low_FAD_r3,S8,SR,lowland,forced,150 day,3
9,SR_30d_low_CW_r2,S9,SR,lowland,constant weight,30 day,2
10,SR_1000d_low_FAD_r4,S10,SR,lowland,forced,1000 day,4
11,SR_90d_low_CW_r1,S11,SR,lowland,constant weight,90 day,1
13,SR_150d_low_CW_r2,S13,SR,lowland,constant weight,150 day,2
14,SR_150d_low_FAD_r4,S14,SR,lowland,forced,150 day,4
15,SR_90d_low_CW_r2,S15,SR,lowland,constant weight,90 day,2
16,SR_30d_low_FAD_r2,S16,SR,lowland,forced,30 day,2
17,SR_1000d_low_FAD_r3,S17,SR,lowland,forced,1000 day,3
18,SR_90d_low_FAD_r3,S18,SR,lowland,forced,90 day,3
20,SR_30d_low_CW_r3,S20,SR,lowland,constant weight,30 day,3
25,SR_90d_low_CW_r4,S25,SR,lowland,constant weight,90 day,4
26,SR_150d_low_CW_r3,S26,SR,lowland,constant weight,150 day,3
27,SR_30d_low_FAD_r3,S27,SR,lowland,forced,30 day,3
28,SR_150d_low_CW_r1,S28,SR,lowland,constant weight,150 day,1
29,time0,S29,SR,,,time zero,
31,SR_1000d_low_CW_r1,S31,SR,lowland,constant weight,1000 day,1
33,SR_150d_low_FAD_r1,S33,SR,lowland,forced,150 day,1
34,SR_90d_low_CW_r3,S34,SR,lowland,constant weight,90 day,3
35,SR_150d_low_FAD_r2,S35,SR,lowland,forced,150 day,2
36,SR_1000d_low_FAD_r2,S36,SR,lowland,forced,1000 day,2
37,SR_90d_low_FAD_r4,S37,SR,lowland,forced,90 day,4
38,SR_1000d_low_CW_r2,S38,SR,lowland,constant weight,1000 day,2
39,SR_30d_low_FAD_r4,S39,SR,lowland,forced,30 day,4
40,SR_1000d_low_FAD_r1,S40,SR,lowland,forced,1000 day,1
42,SR_1000d_low_FAD_r2,S42,SR,lowland,forced,1000 day,2
44,SR_30d_low_FAD_r3,S44,SR,lowland,forced,30 day,3
46,SR_150d_low_FAD_r4,S46,SR,lowland,forced,150 day,4
48,SR_1000d_low_CW_r3,S48,SR,lowland,constant weight,1000 day,3
49,SR_150d_low_FAD_r3,S49,SR,lowland,forced,150 day,3
50,SR_30d_low_FAD_r1,S50,SR,lowland,forced,30 day,1
51,SR_1000d_low_CW_r4,S51,SR,lowland,constant weight,1000 day,4
52,SR_90d_up_FAD_r3,S52,SR,upland,forced,90 day,3
53,SR_90d_up_CW_r4,S53,SR,upland,constant weight,90 day,4
54,SR_30d_up_CW_r4,S54,SR,upland,constant weight,30 day,4
55,SR_1000d_up_CW_r2,S55,SR,upland,constant weight,1000 day,2
56,SR_150d_up_CW_r4,S56,SR,upland,constant weight,150 day,4
57,SR_30d_up_FAD_r4,S57,SR,upland,forced,30 day,4
59,SR_1000d_up_CW_r1,S59,SR,upland,constant weight,1000 day,1
60,SR_1000d_up_FAD_r3,S60,SR,upland,forced,1000 day,3
61,SR_150d_up_CW_r1,S61,SR,upland,constant weight,150 day,1
62,SR_90d_up_CW_r2,S62,SR,upland,constant weight,90 day,2
63,SR_150d_up_CW_r2,S63,SR,upland,constant weight,150 day,2
64,SR_1000d_up_FAD_r4,S64,SR,upland,forced,1000 day,4
65,SR_90d_up_CW_r3,S65,SR,upland,constant weight,90 day,3
66,SR_30d_up_CW_r3,S66,SR,upland,constant weight,30 day,3
67,SR_30d_up_CW_r2,S67,SR,upland,constant weight,30 day,2
68,time0,S68,SR,,,time zero,
70,SR_30d_up_CW_r1,S70,SR,upland,constant weight,30 day,1
72,SR_90d_up_FAD_r4,S72,SR,upland,forced,90 day,4
73,SR_150d_up_CW_r3,S73,SR,upland,constant weight,150 day,3
74,time0,S74,SR,,,time zero,
75,SR_1000d_up_FAD_r1,S75,SR,upland,forced,1000 day,1
76,SR_30d_up_FAD_r2,S76,SR,upland,forced,30 day,2
78,SR_90d_up_FAD_r1,S78,SR,upland,forced,90 day,1
80,SR_150d_up_FAD_r2,S80,SR,upland,forced,150 day,2
82,time0,S82,SR,,,time zero,
83,SR_30d_up_CW_r1,S83,SR,upland,constant weight,30 day,1
86,SR_150d_up_FAD_r1,S86,SR,upland,forced,150 day,1
87,SR_90d_up_CW_r1,S87,SR,upland,constant weight,90 day,1
