"coreID","site","location","drying","length","saturation","DOC_analysis","skip"
"C0","Alaska",,,,"d+rewet",FALSE,
"C1","Alaska","upland","force-dried","90d","d+rewet",TRUE,
"C10","Alaska","upland","force-dried","1000d","drought",FALSE,
"C11","Alaska","upland","air-dried","90d","d+rewet",TRUE,
"C13","Alaska","upland","air-dried","150d","d+rewet",FALSE,
"C14","Alaska","upland","force-dried","150d","d+rewet",FALSE,
"C15","Alaska","upland","air-dried","90d","d+rewet",TRUE,
"C16","Alaska","upland","force-dried","30d","d+rewet",FALSE,
"C17","Alaska","upland","force-dried","1000d","drought",FALSE,
"C18","Alaska","upland","force-dried","90d","d+rewet",TRUE,
"C2","Alaska","upland","air-dried","1000d","d+rewet",FALSE,
"C20","Alaska","upland","air-dried","30d","d+rewet",TRUE,
"C25","Alaska","upland","air-dried","90d","d+rewet",TRUE,
"C26","Alaska","upland","air-dried","150d","d+rewet",TRUE,
"C27","Alaska","upland","force-dried","30d","d+rewet",TRUE,
"C28","Alaska","upland","air-dried","150d","d+rewet",TRUE,
"C29","Alaska",,,"timezero","timezero",TRUE,
"C3","Alaska","upland","air-dried","30d","d+rewet",TRUE,
"C31","Alaska","upland","air-dried","1000d","d+rewet",FALSE,
"C33","Alaska","upland","force-dried","150d","d+rewet",TRUE,
"C34","Alaska","upland","air-dried","90d","d+rewet",FALSE,
"C35","Alaska","upland","force-dried","150d","d+rewet",TRUE,
"C36","Alaska","upland","force-dried","1000d","d+rewet",FALSE,
"C37","Alaska","upland","force-dried","90d","d+rewet",TRUE,
"C38","Alaska","upland","air-dried","1000d","d+rewet",FALSE,
"C39","Alaska","upland","force-dried","30d","d+rewet",TRUE,
"C4","Alaska","upland","air-dried","150d","d+rewet",TRUE,
"C40","Alaska","upland","force-dried","1000d","d+rewet",FALSE,
"C42","Alaska","lowland","force-dried","1000d","d+rewet",FALSE,
"C44","Alaska","lowland","force-dried","30d","d+rewet",TRUE,
"C46","Alaska","lowland","force-dried","150d","d+rewet",TRUE,
"C48","Alaska","lowland","air-dried","1000d","d+rewet",FALSE,
"C49","Alaska","lowland","force-dried","150d","d+rewet",TRUE,
"C5","Alaska","upland","air-dried","1000d","drought",FALSE,
"C50","Alaska","lowland","force-dried","30d","d+rewet",TRUE,
"C51","Alaska","lowland","air-dried","1000d","drought",FALSE,
"C52","Alaska","lowland","force-dried","90d","d+rewet",TRUE,
"C53","Alaska","lowland","air-dried","90d","d+rewet",TRUE,
"C54","Alaska","lowland","air-dried","30d","d+rewet",FALSE,
"C54A","Alaska","lowland","air-dried","1000d","drought",FALSE,
"C55","Alaska","lowland","air-dried","150d","d+rewet",TRUE,
"C56","Alaska","lowland","force-dried","30d","d+rewet",TRUE,
"C58","Alaska","lowland","air-dried","1000d","d+rewet",FALSE,
"C59","Alaska","lowland","force-dried","1000d","drought",FALSE,
"C6","Alaska","upland","force-dried","30d","d+rewet",TRUE,
"C60","Alaska","lowland","air-dried","150d","d+rewet",TRUE,
"C61","Alaska","lowland","air-dried","90d","d+rewet",TRUE,
"C62","Alaska","lowland","air-dried","150d","d+rewet",FALSE,
"C63","Alaska","lowland","force-dried","1000d","drought",FALSE,
"C64","Alaska","lowland","air-dried","90d","d+rewet",FALSE,
"C65","Alaska","lowland","air-dried","30d","d+rewet",TRUE,
"C66","Alaska","lowland","air-dried","30d","d+rewet",TRUE,
"C67","Alaska",,,"timezero","timezero",TRUE,
"C69","Alaska","lowland","air-dried","30d","d+rewet",TRUE,
"C70","Alaska",,"force-dried","90d","drought",TRUE,
"C71","Alaska","lowland","force-dried","90d","d+rewet",TRUE,
"C72","Alaska","lowland","air-dried","150d","d+rewet",TRUE,
"C73","Alaska",,,"timezero","timezero",TRUE,
"C74","Alaska","lowland","force-dried","1000d","d+rewet",FALSE,
"C75","Alaska","lowland","force-dried","30d","d+rewet",FALSE,
"C76","Alaska",,"air-dried","90d","drought",TRUE,
"C77","Alaska","lowland","force-dried","90d","d+rewet",TRUE,
"C78","Alaska",,"air-dried","90d","drought",TRUE,
"C79","Alaska","lowland","force-dried","150d","d+rewet",TRUE,
"C8","Alaska","upland","force-dried","150d","d+rewet",TRUE,
"C80","Alaska",,"force-dried","90d","drought",TRUE,
"C81","Alaska",,,"timezero","timezero",TRUE,
"C82","Alaska","upland","air-dried","30d","d+rewet",FALSE,
"C83","Alaska",,"force-dried","90d","drought",TRUE,
"C84","Alaska",,"air-dried","90d","drought",TRUE,
"C85","Alaska","lowland","force-dried","150d","d+rewet",FALSE,
"C86","Alaska","lowland","air-dried","90d","d+rewet",TRUE,
"C9","Alaska","upland","air-dried","30d","d+rewet",TRUE,
"S10","Washington","lowland","force-dried","1000d","drought",FALSE,
"S11","Washington","lowland","air-dried","90d","d+rewet",TRUE,
"S13","Washington","lowland","air-dried","150d","d+rewet",TRUE,
"S14","Washington","lowland","force-dried","150d","d+rewet",TRUE,
"S15","Washington","lowland","air-dried","90d","d+rewet",TRUE,
"S16","Washington","lowland","force-dried","30d","d+rewet",TRUE,
"S17","Washington","lowland","force-dried","1000d","d+rewet",FALSE,
"S18","Washington","lowland","force-dried","90d","d+rewet",TRUE,
"S2","Washington","lowland","air-dried","1000d","d+rewet",FALSE,
"S20","Washington","lowland","air-dried","30d","d+rewet",TRUE,
"S21","Washington",,"force-dried","90d","drought",TRUE,
"S24","Washington",,"air-dried","30d","drought",TRUE,
"S26","Washington","lowland","air-dried","150d","d+rewet",TRUE,
"S27","Washington","lowland","force-dried","30d","d+rewet",FALSE,
"S28","Washington","lowland","air-dried","150d","d+rewet",FALSE,
"S29","Washington",,,"timezero","d+rewet",FALSE,
"S3","Washington","lowland","air-dried","30d","d+rewet",TRUE,
"S31","Washington","lowland","air-dried","1000d","d+rewet",FALSE,
"S32","Washington",,"air-dried","90d","drought",TRUE,
"S33","Washington","lowland","force-dried","150d","d+rewet",FALSE,
"S34","Washington","lowland","air-dried","90d","d+rewet",FALSE,
"S35","Washington","lowland","force-dried","150d","d+rewet",FALSE,
"S36","Washington","lowland","force-dried","1000d","d+rewet",FALSE,
"S37","Washington","lowland","force-dried","90d","d+rewet",TRUE,
"S38","Washington","lowland","air-dried","1000d","drought",FALSE,
"S39","Washington","lowland","force-dried","30d","d+rewet",TRUE,
"S4","Washington","lowland","air-dried","150d","d+rewet",TRUE,
"S40","Washington","lowland","force-dried","1000d","drought",FALSE,
"S42","Washington","lowland","force-dried","1000d","drought",FALSE,
"S43","Washington",,"force-dried","30d","drought",TRUE,
"S44","Washington","lowland","force-dried","30d","d+rewet",FALSE,
"S45","Washington",,"force-dried","30d","drought",TRUE,
"S46","Washington","lowland","force-dried","150d","d+rewet",FALSE,
"S47","Washington",,"force-dried","90d","drought",TRUE,
"S48","Washington","lowland","air-dried","1000d","d+rewet",FALSE,
"S49","Washington","lowland","force-dried","150d","d+rewet",TRUE,
"S5","Washington","lowland","air-dried","1000d","drought",FALSE,
"S50","Washington","lowland","force-dried","30d","d+rewet",FALSE,
"S51","Washington","lowland","air-dried","1000d","d+rewet",FALSE,
"S52","Washington","upland","force-dried","90d","d+rewet",TRUE,
"S53","Washington","upland","air-dried","90d","d+rewet",TRUE,
"S54","Washington","upland","air-dried","30d","d+rewet",TRUE,
"S55","Washington","upland","air-dried","1000d","drought",FALSE,
"S56","Washington","upland","air-dried","150d","d+rewet",TRUE,
"S57","Washington","upland","force-dried","30d","d+rewet",TRUE,
"S58","Washington",,,"timezero","timezero",TRUE,
"S59","Washington","upland","air-dried","1000d","d+rewet",FALSE,
"S6","Washington","lowland","force-dried","30d","d+rewet",TRUE,
"S60","Washington","upland","force-dried","1000d","d+rewet",FALSE,
"S61","Washington","upland","air-dried","150d","d+rewet",TRUE,
"S62","Washington","upland","air-dried","90d","d+rewet",FALSE,
"S63","Washington","upland","air-dried","150d","d+rewet",TRUE,
"S64","Washington","upland","force-dried","1000d","drought",FALSE,
"S65","Washington","upland","air-dried","90d","d+rewet",TRUE,
"S66","Washington","upland","air-dried","30d","d+rewet",TRUE,
"S67","Washington","upland","air-dried","30d","d+rewet",FALSE,
"S68","Washington",,,"timezero","d+rewet",FALSE,
"S70","Washington","upland","air-dried","30d","d+rewet",FALSE,
"S72","Washington","upland","force-dried","90d","d+rewet",TRUE,
"S73","Washington","upland","air-dried","150d","d+rewet",FALSE,
"S74","Washington",,,"timezero","d+rewet",FALSE,
"S75","Washington","upland","force-dried","1000d","d+rewet",FALSE,
"S76","Washington","upland","force-dried","30d","d+rewet",TRUE,
"S78","Washington","upland","force-dried","90d","d+rewet",TRUE,
"S79","Washington",,"force-dried","30d","drought",TRUE,
"S8","Washington","lowland","force-dried","150d","d+rewet",TRUE,
"S80","Washington","upland","force-dried","150d","d+rewet",TRUE,
"S81","Washington",,"air-dried","30d","drought",TRUE,
"S82","Washington",,,"timezero","d+rewet",FALSE,
"S83","Washington","upland","air-dried","30d","d+rewet",TRUE,
"S84","Washington",,"air-dried","90d","drought",TRUE,
"S86","Washington","upland","force-dried","150d","d+rewet",TRUE,
"S87","Washington","upland","air-dried","90d","d+rewet",TRUE,
"S89","Washington",,"force-dried","90d","drought",TRUE,
"S9","Washington","lowland","air-dried","30d","d+rewet",TRUE,
"S91","Washington",,"air-dried","30d","drought",TRUE,
"S92","Washington",,,"timezero","timezero",TRUE,
"S95","Washington",,"air-dried","90d","drought",TRUE,
