"coreID","Site","location","drying","length","saturation","DOC_analysis"
"C0","CPCRW",,,"NA","d+rewet",FALSE
"C1","CPCRW","upland","force-dried","90d","d+rewet",TRUE
"C10","CPCRW","upland","force-dried","1000d","drought",FALSE
"C11","CPCRW","upland","air-dried","90d","d+rewet",TRUE
"C13","CPCRW","upland","air-dried","150d","d+rewet",FALSE
"C14","CPCRW","upland","force-dried","150d","d+rewet",FALSE
"C15","CPCRW","upland","air-dried","90d","d+rewet",TRUE
"C16","CPCRW","upland","force-dried","30d","d+rewet",FALSE
"C17","CPCRW","upland","force-dried","1000d","drought",FALSE
"C18","CPCRW","upland","force-dried","90d","d+rewet",TRUE
"C2","CPCRW","upland","air-dried","1000d","d+rewet",FALSE
"C20","CPCRW","upland","air-dried","30d","d+rewet",TRUE
"C25","CPCRW","upland","air-dried","90d","d+rewet",TRUE
"C26","CPCRW","upland","air-dried","150d","d+rewet",TRUE
"C27","CPCRW","upland","force-dried","30d","d+rewet",TRUE
"C28","CPCRW","upland","air-dried","150d","d+rewet",TRUE
"C29","CPCRW",,,"timezero","timezero",TRUE
"C3","CPCRW","upland","air-dried","30d","d+rewet",TRUE
"C31","CPCRW","upland","air-dried","1000d","d+rewet",FALSE
"C33","CPCRW","upland","force-dried","150d","d+rewet",TRUE
"C34","CPCRW","upland","air-dried","90d","d+rewet",FALSE
"C35","CPCRW","upland","force-dried","150d","d+rewet",TRUE
"C36","CPCRW","upland","force-dried","1000d","d+rewet",FALSE
"C37","CPCRW","upland","force-dried","90d","d+rewet",TRUE
"C38","CPCRW","upland","air-dried","1000d","d+rewet",FALSE
"C39","CPCRW","upland","force-dried","30d","d+rewet",TRUE
"C4","CPCRW","upland","air-dried","150d","d+rewet",TRUE
"C40","CPCRW","upland","force-dried","1000d","d+rewet",FALSE
"C42","CPCRW","lowland","force-dried","1000d","d+rewet",FALSE
"C44","CPCRW","lowland","force-dried","30d","d+rewet",TRUE
"C46","CPCRW","lowland","force-dried","150d","d+rewet",TRUE
"C48","CPCRW","lowland","air-dried","1000d","d+rewet",FALSE
"C49","CPCRW","lowland","force-dried","150d","d+rewet",TRUE
"C5","CPCRW","upland","air-dried","1000d","drought",FALSE
"C50","CPCRW","lowland","force-dried","30d","d+rewet",TRUE
"C51","CPCRW","lowland","air-dried","1000d","drought",FALSE
"C52","CPCRW","lowland","force-dried","90d","d+rewet",TRUE
"C53","CPCRW","lowland","air-dried","90d","d+rewet",TRUE
"C54","CPCRW","lowland","air-dried","30d","d+rewet",FALSE
"C54A","CPCRW","lowland","air-dried","1000d","drought",FALSE
"C55","CPCRW","lowland","air-dried","150d","d+rewet",TRUE
"C56","CPCRW","lowland","force-dried","30d","d+rewet",TRUE
"C58","CPCRW","lowland","air-dried","1000d","d+rewet",FALSE
"C59","CPCRW","lowland","force-dried","1000d","drought",FALSE
"C6","CPCRW","upland","force-dried","30d","d+rewet",TRUE
"C60","CPCRW","lowland","air-dried","150d","d+rewet",TRUE
"C61","CPCRW","lowland","air-dried","90d","d+rewet",TRUE
"C62","CPCRW","lowland","air-dried","150d","d+rewet",FALSE
"C63","CPCRW","lowland","force-dried","1000d","drought",FALSE
"C64","CPCRW","lowland","air-dried","90d","d+rewet",FALSE
"C65","CPCRW","lowland","air-dried","30d","d+rewet",TRUE
"C66","CPCRW","lowland","air-dried","30d","d+rewet",TRUE
"C67","CPCRW",,,"timezero","timezero",TRUE
"C69","CPCRW","lowland","air-dried","30d","d+rewet",TRUE
"C70","CPCRW","NA","force-dried","90d","drought",TRUE
"C71","CPCRW","lowland","force-dried","90d","d+rewet",TRUE
"C72","CPCRW","lowland","air-dried","150d","d+rewet",TRUE
"C73","CPCRW",,,"timezero","timezero",TRUE
"C74","CPCRW","lowland","force-dried","1000d","d+rewet",FALSE
"C75","CPCRW","lowland","force-dried","30d","d+rewet",FALSE
"C76","CPCRW","NA","air-dried","90d","drought",TRUE
"C77","CPCRW","lowland","force-dried","90d","d+rewet",TRUE
"C78","CPCRW","NA","air-dried","90d","drought",TRUE
"C79","CPCRW","lowland","force-dried","150d","d+rewet",TRUE
"C8","CPCRW","upland","force-dried","150d","d+rewet",TRUE
"C80","CPCRW","NA","force-dried","90d","drought",TRUE
"C81","CPCRW",,,"timezero","timezero",TRUE
"C82","CPCRW","upland","air-dried","30d","d+rewet",FALSE
"C83","CPCRW","NA","force-dried","90d","drought",TRUE
"C84","CPCRW","NA","air-dried","90d","drought",TRUE
"C85","CPCRW","lowland","force-dried","150d","d+rewet",FALSE
"C86","CPCRW","lowland","air-dried","90d","d+rewet",TRUE
"C9","CPCRW","upland","air-dried","30d","d+rewet",TRUE
"S1","SR","lowland","force-dried","90d","d+rewet",TRUE
"S10","SR","lowland","force-dried","1000d","drought",FALSE
"S11","SR","lowland","air-dried","90d","d+rewet",TRUE
"S13","SR","lowland","air-dried","150d","d+rewet",TRUE
"S14","SR","lowland","force-dried","150d","d+rewet",TRUE
"S15","SR","lowland","air-dried","90d","d+rewet",TRUE
"S16","SR","lowland","force-dried","30d","d+rewet",TRUE
"S17","SR","lowland","force-dried","1000d","d+rewet",FALSE
"S18","SR","lowland","force-dried","90d","d+rewet",TRUE
"S2","SR","lowland","air-dried","1000d","d+rewet",FALSE
"S20","SR","lowland","air-dried","30d","d+rewet",TRUE
"S21","SR","NA","force-dried","90d","drought",TRUE
"S24","SR","NA","air-dried","30d","drought",TRUE
"S26","SR","lowland","air-dried","150d","d+rewet",TRUE
"S27","SR","lowland","force-dried","30d","d+rewet",FALSE
"S28","SR","lowland","air-dried","150d","d+rewet",FALSE
"S29","SR",,,"timezero","d+rewet",FALSE
"S3","SR","lowland","air-dried","30d","d+rewet",TRUE
"S31","SR","lowland","air-dried","1000d","d+rewet",FALSE
"S32","SR","NA","air-dried","90d","drought",TRUE
"S33","SR","lowland","force-dried","150d","d+rewet",FALSE
"S34","SR","lowland","air-dried","90d","d+rewet",FALSE
"S35","SR","lowland","force-dried","150d","d+rewet",FALSE
"S36","SR","lowland","force-dried","1000d","d+rewet",FALSE
"S37","SR","lowland","force-dried","90d","d+rewet",TRUE
"S38","SR","lowland","air-dried","1000d","drought",FALSE
"S39","SR","lowland","force-dried","30d","d+rewet",TRUE
"S4","SR","lowland","air-dried","150d","d+rewet",TRUE
"S40","SR","lowland","force-dried","1000d","drought",FALSE
"S42","SR","lowland","force-dried","1000d","drought",FALSE
"S43","SR","NA","force-dried","30d","drought",TRUE
"S44","SR","lowland","force-dried","30d","d+rewet",FALSE
"S45","SR","NA","force-dried","30d","drought",TRUE
"S46","SR","lowland","force-dried","150d","d+rewet",FALSE
"S47","SR","NA","force-dried","90d","drought",TRUE
"S48","SR","lowland","air-dried","1000d","d+rewet",FALSE
"S49","SR","lowland","force-dried","150d","d+rewet",TRUE
"S5","SR","lowland","air-dried","1000d","drought",FALSE
"S50","SR","lowland","force-dried","30d","d+rewet",FALSE
"S51","SR","lowland","air-dried","1000d","d+rewet",FALSE
"S52","SR","upland","force-dried","90d","d+rewet",TRUE
"S53","SR","upland","air-dried","90d","d+rewet",TRUE
"S54","SR","upland","air-dried","30d","d+rewet",TRUE
"S55","SR","upland","air-dried","1000d","drought",FALSE
"S56","SR","upland","air-dried","150d","d+rewet",TRUE
"S57","SR","upland","force-dried","30d","d+rewet",TRUE
"S58","SR",,,"timezero","timezero",TRUE
"S59","SR","upland","air-dried","1000d","d+rewet",FALSE
"S6","SR","lowland","force-dried","30d","d+rewet",TRUE
"S60","SR","upland","force-dried","1000d","d+rewet",FALSE
"S61","SR","upland","air-dried","150d","d+rewet",TRUE
"S62","SR","upland","air-dried","90d","d+rewet",FALSE
"S63","SR","upland","air-dried","150d","d+rewet",TRUE
"S64","SR","upland","force-dried","1000d","drought",FALSE
"S65","SR","upland","air-dried","90d","d+rewet",TRUE
"S66","SR","upland","air-dried","30d","d+rewet",TRUE
"S67","SR","upland","air-dried","30d","d+rewet",FALSE
"S68","SR",,,"timezero","d+rewet",FALSE
"S70","SR","upland","air-dried","30d","d+rewet",FALSE
"S72","SR","upland","force-dried","90d","d+rewet",TRUE
"S73","SR","upland","air-dried","150d","d+rewet",FALSE
"S74","SR",,,"timezero","d+rewet",FALSE
"S75","SR","upland","force-dried","1000d","d+rewet",FALSE
"S76","SR","upland","force-dried","30d","d+rewet",TRUE
"S78","SR","upland","force-dried","90d","d+rewet",TRUE
"S79","SR","NA","force-dried","30d","drought",TRUE
"S8","SR","lowland","force-dried","150d","d+rewet",TRUE
"S80","SR","upland","force-dried","150d","d+rewet",TRUE
"S81","SR","NA","air-dried","30d","drought",TRUE
"S82","SR",,,"timezero","d+rewet",FALSE
"S83","SR","upland","air-dried","30d","d+rewet",TRUE
"S84","SR","NA","air-dried","90d","drought",TRUE
"S86","SR","upland","force-dried","150d","d+rewet",TRUE
"S87","SR","upland","air-dried","90d","d+rewet",TRUE
"S89","SR","NA","force-dried","90d","drought",TRUE
"S9","SR","lowland","air-dried","30d","d+rewet",TRUE
"S91","SR","NA","air-dried","30d","drought",TRUE
"S92","SR",,,"timezero","timezero",TRUE
"S95","SR","NA","air-dried","90d","drought",TRUE
"S1","SR",,,"1000d","drought",TRUE
