Site,Core,Mass with both end caps (g),headspace (cm),Core_assignment,
SR,1,281.52,1.5,SR_90d_low_FAD_r1,
SR,2,288,2,SR_1000d_low_CW_r3,
SR,3,285.44,2.5,SR_30d_low_CW_r4,
SR,4,291.07,2,SR_150d_low_CW_r4,
SR,5,286,3.5,SR_1000d_low_CW_r4,
SR,6,287.95,2.5,SR_30d_low_FAD_r1,
SR,7,265.62,2,,
SR,8,270.8,2,SR_150d_low_FAD_r3,
SR,9,265,3,SR_30d_low_CW_r2,
SR,10,287.21,1,SR_1000d_low_FAD_r4,
SR,11,325.14,0.5,SR_90d_low_CW_r1,
SR,12,325.22,0,,
SR,13,282.68,2,SR_150d_low_CW_r2,
SR,14,262.44,3.5,SR_150d_low_FAD_r4,
SR,15,297.8,1,SR_90d_low_CW_r2,
SR,16,301.17,1.5,SR_30d_low_FAD_r2,
SR,17,311.71,1,SR_1000d_low_FAD_r3,
SR,18,289.89,1.5,SR_90d_low_FAD_r3,
SR,19,288.06,2,,
SR,20,297.54,1.5,SR_30d_low_CW_r3,
SR,21,295.48,2,,
SR,22,324.25,0,,
SR,23,297.65,0,,
SR,24,301.19,0.5,,
SR,25,300.84,1,SR_90d_low_CW_r4,
SR,26,319.7,0,SR_150d_low_CW_r3,
SR,27,307.75,2,SR_30d_low_FAD_r3,
SR,28,296.41,2,SR_150d_low_CW_r1,
SR,29,279.93,1,time0,
SR,30,288.71,1,,
SR,31,310.38,1,SR_1000d_low_CW_r1,
SR,32,247.66,3,,
SR,33,290.25,1,SR_150d_low_FAD_r1,
SR,34,324.77,0.5,SR_90d_low_CW_r3,
SR,35,326.9,0,SR_150d_low_FAD_r2,
SR,36,316.34,1,SR_1000d_low_FAD_r2,
SR,37,338.67,0,SR_90d_low_FAD_r4,
SR,38,321.86,0,SR_1000d_low_CW_r2,
SR,39,321.74,1,SR_30d_low_FAD_r4,
SR,40,318.07,1,SR_1000d_low_FAD_r1,
SR,41,308.7,1,,
SR,42,319.21,1.5,SR_1000d_low_FAD_r2,
SR,43,294.4,1.5,,
SR,44,272.14,1.5,SR_30d_low_FAD_r3,
SR,45,288.18,3,,
SR,46,277.88,1.5,SR_150d_low_FAD_r4,
SR,47,290.2,2,,
SR,48,296.52,1,SR_1000d_low_CW_r3,
SR,49,281.59,2.5,SR_150d_low_FAD_r3,
SR,50,,,SR_30d_low_FAD_r1,
SR,51,272.09,2,SR_1000d_low_CW_r4,
SR,52,315.82,0,SR_90d_up_FAD_r3,
SR,53,280.15,1,SR_90d_up_CW_r4,
SR,54,329.36,0,SR_30d_up_CW_r4,
SR,55,312.32,1,SR_1000d_up_CW_r2,
SR,56,312.02,1,SR_150d_up_CW_r4,
SR,57,261.97,1,SR_30d_up_FAD_r4,
SR,58,337.9,0,,
SR,59,327.06,2,SR_1000d_up_CW_r1,
SR,60,337.96,0,SR_1000d_up_FAD_r3,
SR,61,335.7,2,SR_150d_up_CW_r1,
SR,62,342.83,1,SR_90d_up_CW_r2,
SR,63,306.68,2.5,SR_150d_up_CW_r2,
SR,64,250.81,3,SR_1000d_up_FAD_r4,Note: Accidentially spilled the core; (original weight: 265.69 / headspace: 1)
SR,65,346.01,1,SR_90d_up_CW_r3,
SR,66,379.01,0.5,SR_30d_up_CW_r3,
SR,67,355.91,1,SR_30d_up_CW_r2,
SR,68,299.1,1,time0,
SR,69,316.99,1,,
SR,70,243.47,3,SR_30d_up_CW_r1,
SR,71,341.99,0,,
SR,72,347.28,0,SR_90d_up_FAD_r4,
SR,73,361.2,0,SR_150d_up_CW_r3,
SR,74,336,0,time0,
SR,75,331.38,0.5,SR_1000d_up_FAD_r1,
SR,76,304.2,1,SR_30d_up_FAD_r2,
SR,77,252.73,2.5,,
SR,78,361.98,0,SR_90d_up_FAD_r1,
SR,79,256.94,1.5,,
SR,80,334.94,1,SR_150d_up_FAD_r2,
SR,81,361.57,0,,
SR,82,307.82,0,time0,
SR,83,266.82,1,SR_30d_up_CW_r1,
SR,84,359.01,1,,
SR,85,317.67,1.5,,
SR,86,305.41,0,SR_150d_up_FAD_r1,
SR,87,309.03,1,SR_90d_up_CW_r1,
SR,88,,,,
SR,89,,,,
SR,90,,,,
SR,91,,,,
SR,92,,,,
SR,93,,,,
SR,94,,,,
SR,95,,,,
SR,96,,,,
SR,,,,,